Job Title,Skills,Tags
Lead .Net Developer,"ams acrs, apply, c#.net, can, candidate, ci/cd, clearance, create, demonstrates, developers, education, ensure, factor authentication, familiarity, full stack development, git, git.
demonstrates, hands, identify, integration, mfa, multi, net, net developer, nunit.
strong, ooad, oracle, oracle tcps, orm, perform, prior, proficient, proven, requirements, secret, senior, sonarqube, sql, stem, uml, x.509, zolon","Full-Stack, Backend, Gov/Defense"
Full-Stack (.NET) Developer (5247),"angular, at metrostar, azure, azure devops, bitbucket, ci/cd, css, developer, discrimination
all, entity framework, establish, exposure, front end, full, github, html, javascript, jquery, mvc, net, net web forms, non, not, object relational mapping, orm, react, restful apis, role, sci, sign, source code, stack, succeed, team foundation server, united states, what you, why consider","Full-Stack, Backend, Cloud, Gov/Defense"
.Net Developer,"ace technologies, leveraging",General
".NET Developer, Junior",".net, additional information
andworx, agile, agile kanban, agile microsoft, all, andworx, apply, as junior, asp.net, azure, azure devops. you, candidates, dc metro, entity, entity framework, federal government, hands, information systems, json, junior, mvc, mvvm, net, net core, net developer, oracle, please note, position, required qualifications, responsibilities

as junior, rest, scrum, sdlc, soap, together, troubleshoot, trust, u.s citizenship, understanding, verify employment eligibility verification program, xml","Backend, Cloud, Gov/Defense"
.Net Developer Jobs,".net, agile, all cgi, angular, application developer.
strong, application development, arlington, asp.net, asp.net.
experience, aws, aws.
knowledge, azure, background, cgi, cgi federal, cgi partners, cgi u.s. employment compliance, cgi. create, cgifederaljob

skills, cgis, ci/cd, click, collaborate, come, compensation, competitive, comprehensive, css, dependent, design, desired, devops, devops

what, docker, dream, emails, entity framework.
understanding, familiarity, git, here, however, html, information technology, javascript, jenkins, kubernetes, learning, life, looking, matching, microservices, net, net developer, paid, perform, please, position description, position id, proven, qualified, react, react.
familiarity, required, sql, sql server, stay, thats, together, troubleshoot, u.s, va.

your, well, wellness, write, you, youll, your","Full-Stack, Backend, Cloud, Gov/Defense"
Full Stack Developer (.NET Focus),".net, active secret security clearance

about mclane advanced technologies

headquartered, agile, angular, api, army, asp.net, asp.net api, at mat, complete, confirm, defense, department, familiar, federal government, for, full stack developer, full stack developer

responsibilities of the full stack developer

mclane advanced technologies, has, html, ibm corporation. mat, javascript, job title, junior full stack developer, lead software develop, logistics, mat, mclane advanced technologies, microsoft, mvc, net framework, oracle platinum partner, perform, personal, please, premier business partner, programmatic, provide data architecture, qualifications, read, review, sap partner, science, skilled, sql, technology, the full stack developer will, tysons corner, u.s. army. as, visual studio team system, you","Full-Stack, Backend, Gov/Defense"
".NET Developer (676237) // US or GC // Washington, DC // Work From Home // 1099, C2C, W2",".net, about, about dantech
dantech corporation, act, address, ado.net, affirmative action employer, asp, asp.net, assist, background, bpel, bugzilla, business intelligence, c2c, cai, cbe, certified business enterprise, cognos, columbia, consult, contract term, covid, dantech, data stage, define, department, design, desired skills, dhs, district, equal opportunity, etl, expect, expect f2f, for, gallaudet, green card, hiring expectations, hp alm, html, human services, implement, informatica, instruct, java, javascript, jira, job id, linq, microsoft, ms sql server, ne dc, net, net developer, net framework, no third parties, no third party agencies, noma, opportunity, oracle, performs, php, produce, provide, red line, represent, required skills, resolve, right, service oriented architecture, short description

the district, sops, sql, ssis, till, troubleshoot, us citizens, visio, visual c#. the, visual studio, wcf, weblogic

complete description

the district, windows communication foundation, woman owned small business, wosb, xml, years","Full-Stack, Backend, Gov/Defense"
Lead .NET Developer,".net, agile, api, architect, asp.net, asp.net core, aws, aws cloudformation, aws codepipeline, aws fargate, aws iam, aws rds, aws sagemaker, aws sqs, azure, blazor, ci/cd, clean architecture, code, company, continuing education opportunities, current, ddd, degree, dental, desired experience, devsecops, docker, domain, driven design, driven development, eks, engage, evaluate, eventbridge, familiarity, gcp, git, gitflow, github actions, gitlab flow, graphql, graphql api, infrastructure, jenkins, kubernetes, lead, lead software developer, legal, marine corps, medical, microservices, ml.net, monitor, mvc, mysql, net, net core, net framework, openai api, oversee api, paid, perform, position description

pioneering evolution, postgresql, proficiency, proven, provide, rds, required experience, responsibilities, restful apis, scrum, secret clearance, secret u.s, set, sns, software engineering, solid, sql, sql server, stay, strong git, tdd, terraform, test, the lead developer, tuition, u.s, understanding, unit, vision, washington d.c, web api, who we are and what we offer

in","Backend, Cloud, Gov/Defense"
".Net Web Application Developer (AWS, Azure)","address, advanced, advanced web application, advocate, agile, angular, api, api gateway, apis, architect, aws, aws lambda, azure, azure devops, azure. this, bachelors, basic qualifications, best practices, certification, ci/cd, client engagement, cloud infrastructure management, collaborate, communicate, continuous improvement, continuously, deep, degree, design, devops, dynamodb, ensure, example, extensive, implement, implementation, information technology, innovation, javascript, jenkins, lead, leidos, list, master, microservices, minimum, net, nosql, optimize, oversee, performance optimization, preferred qualifications, primary responsibilities

list, proven, provide, quality assurance, react, rest, rest api development, restful api, restful apis, sci clearance, sdlc, senior, software engineering, sql, stay, technical analysis, utilize aws, ux collaboration, vue.js, web application developer, your","Full-Stack, Backend, Cloud, Gov/Defense"
Microsoft .NET Developer,".net, abilities, about, active server page, ado.net, adodb
experience, agile, angularjs, api, apis.
experience, application, application programming interface, applied security compliance, asp.net, asp.net restful, assist, atlassian jira, business solutions, business systems, certification requirements, chart formatting
experience, charts, code reviews, coding standards, communication skills, company, configuration management, console application, crystal reports, css3, data import, database triggers, db link, delivery management, design, desired skills, desktop application winforms, documentation, education, educational qualifications, engineering, entity data, entity framework, er diagrams, essential job functions, excel, excel vba, export, extensible markup language, html5, import, indexes, integration testing, integration testing
perform code, involve, javascript, jira, jquery, level design, linked server, logic, logic design, low, macro, mcp, mcpd, mcts, meeting minutes, microsoft, microsoft asp.net, microsoft certified professional, microsoft certified professional developer, microsoft certified technology specialist, microsoft excel, microsoft powerpoint, microsoft project, microsoft sql server, microsoft visual basic, microsoft visual basic.net, microsoft visual studio, microsoft windows operating system, minimum, mobile application development, ms sql server, net, net developer, net framework, object oriented programming, object oriented programming
must, offshoring, ois, oop, open queries, optimization, organizational skills, performance analysis, performance tuning, pivots, plan meetings, position overview
this, powerpoint, presentation, query optimization, release management, representational state transfer, rest, role specific experience, sap, sap nco, schedule, scrum, scrum project management, sdks
experience, sdlc, service level agreement, service management, sharepoint, sharp, simple object access protocol, skills, sla, soap, soap
must, software administration, software development, software development lifecycle, software upgrades, sql, sql profiler, sql queries, sql server, sql server reporting services, ssp, ssrs, standards
ability, stored procedures, structured query language, system migration, team, team player, telerik, test case, test plan, timely, triggers, unit test, unit testing plan, user interface, user interface design, vb.net class libraries, vb.net class libraries
must, vb.net class libraries. expert, vb.net language
must, vba, verbal skills, views, visual basic, visual studio, washington dc, wb office information security policies, wcf, web, web services, window applications

required skills, windows, windows applications, windows communication foundation, winforms
must, write low level design, writing skills, xml","Full-Stack, Backend, Gov/Defense"
