Job Title,Skills,Tags
Lead .Net Developer,"ams acrs, apply, c#.net, can, candidate, ci/cd, clearance, create, demonstrates, develop, developers, education, ensure, experience, factor authentication, familiarity, full stack development, git, git.
demonstrates, hands, identify, integration, knowledge, mfa, multi, must, net, net developer, nunit.
strong, ooad, oracle, oracle tcps, orm, perform, prior, proficient, proven, requirements, secret, senior, sonarqube, sql, stem, uml, x.509, zolon","Full-Stack, Backend, Gov/Defense"
Full-Stack (.NET) Developer (5247),"angular, at metrostar, azure, azure devops, because, bitbucket, ci/cd, commitment, creatively, css, develop, developer, discrimination
all, entity framework, establish, experience, exposure, front end, full, github, have, html, javascript, jquery, learn, like, mvc, need, net, net web forms, non, not, object relational mapping, orm, plus, react, restful apis, role, sci, sign, source code, stack, succeed, support, team foundation server, that, united states, value, what, what you, why consider, work","Full-Stack, Backend, Cloud, Gov/Defense"
.Net Developer,"about ncr voyix

ncr voyix corporation, all, amazon mq, angular, atlanta, aws, azure, azure devops, basic qualifications, ci/cd, collaborate, create, css, dental insurance, design, develop apis, devops, docker, eeo statement

integrated, ensure, every, experience, familiarity, for, full, full stack software developer, georgia, github actions, google cloud, government, hands, html, icam.

salary range, implement, javascript, jenkins, key responsibility, kubernetes, life insurance, llc, long term disability, medical insurance, microservices, ms sql database, ms sql server, ncr government systems, ncr voyix, net, net core, not, nyse, offers, okta, our, paid vacation, please, polymer, position summary, preferred qualifications, proficiency, proven, rabbitmq, react, restful apis, saas, short, software engineering, sql, statement, stay, third party agencies
to all, today, troubleshoot, us citizen, vision insurance, vyx, when, write, you","Full-Stack, Backend, Cloud, Gov/Defense"
.Net Developer Jobs,".net, agile, all cgi, angular, application developer.
strong, application development, arlington, asp.net, asp.net.
experience, aws, aws.
knowledge, azure, background, cgi, cgi federal, cgi partners, cgi u.s. employment compliance, cgi. create, cgifederaljob

skills, cgis, ci/cd, click, collaborate, come, compensation, competitive, comprehensive, css, dependent, design, desired, devops, devops

what, docker, dream, emails, entity framework.
understanding, experience, familiarity, git, here, however, html, information technology, javascript, jenkins, kubernetes, learning, life, looking, matching, microservices, net, net developer, paid, participate, perform, please, position description, position id, proven, qualified, react, react.
familiarity, required, sql, sql server, stay, thats, together, troubleshoot, u.s, va.

your, well, wellness, write, you, youll, your","Full-Stack, Backend, Cloud, Gov/Defense"
".NET Developer, Junior",".net, additional information
andworx, agile, agile kanban, agile microsoft, all, andworx, apply, as junior, asp.net, azure, azure devops. you, candidates, dc metro, develop, entity, entity framework, experience, federal government, hands, information systems, json, junior, mvc, mvvm, net, net core, net developer, oracle, participate, please note, position, required qualifications, responsibilities

as junior, rest, scrum, sdlc, soap, together, troubleshoot, trust, u.s citizenship, understanding, use, verify employment eligibility verification program, washington, work, xml","Backend, Cloud, Gov/Defense"
Full Stack Developer (.NET Focus),".net, active secret security clearance

about mclane advanced technologies

headquartered, agile, angular, api, army, asp.net, asp.net api, at mat, complete, confirm, defense, department, experience, familiar, federal government, for, full stack developer, full stack developer

responsibilities of the full stack developer

mclane advanced technologies, has, html, ibm corporation. mat, javascript, job title, junior full stack developer, lead software develop, logistics, mat, mclane advanced technologies, microsoft, mvc, net framework, oracle platinum partner, our, perform, personal, please, premier business partner, programmatic, provide data architecture, qualifications, read, review, sap partner, science, skilled, sql, technology, the full stack developer will, tysons corner, u.s. army. as, use, visual studio team system, work, you","Full-Stack, Backend, Gov/Defense"
".NET Developer (676237) // US or GC // Washington, DC // Work From Home // 1099, C2C, W2",".net, about, about dantech
dantech corporation, act, address, ado.net, affirmative action employer, asp, asp.net, assist, background, bpel, bugzilla, business intelligence, c2c, cai, cbe, certified business enterprise, cognos, columbia, consult, contract term, covid, dantech, data stage, define, department, design, desired skills, dhs, district, equal opportunity, etl, expect, expect f2f, experience, for, gallaudet, green card, hiring expectations, hp alm, html, human services, implement, inc, informatica, instruct, java, javascript, jira, job id, linq, location, microsoft, ms sql server, must, ne dc, net, net developer, net framework, no third parties, no third party agencies, noma, opportunity, oracle, participate, performs, php, plan, produce, provide, red line, represent, required skills, research, resolve, right, service oriented architecture, short description

the district, sops, sql, ssis, till, troubleshoot, us citizens, use, visio, visual c#. the, visual studio, wcf, weblogic

complete description

the district, windows communication foundation, woman owned small business, work, wosb, xml, years","Full-Stack, Backend, Gov/Defense"
Lead .NET Developer,".net, agile, api, architect, asp.net, asp.net core, aws, aws cloudformation, aws codepipeline, aws fargate, aws iam, aws rds, aws sagemaker, aws sqs, azure, blazor, ci/cd, clean architecture, code, company, continuing education opportunities, current, ddd, degree, dental, desired experience, develop, devsecops, docker, domain, driven design, driven development, eks, engage, evaluate, eventbridge, experience, familiarity, gcp, git, gitflow, github actions, gitlab flow, graphql, graphql api, infrastructure, jenkins, knowledge, kubernetes, lead, lead software developer, legal, marine corps, medical, microservices, ml.net, monitor, mvc, mysql, net, net core, net framework, openai api, oversee api, paid, perform, pioneering evolution, position description, postgresql, proficiency, proven, provide, rds, required experience, responsibilities, restful apis, scrum, secret clearance, secret u.s, set, sns, software engineering, solid, sql, sql server, stay, strong git, tdd, terraform, test, the lead developer, tuition, u.s, understanding, unit, vision, washington d.c, web api, who we are and what we offer, work","Backend, Cloud, Gov/Defense"
Microsoft .NET Developer,".net, abilities, about, active server page, ado.net, adodb
experience, agile, angularjs, api, apis.
experience, application, application programming interface, applied security compliance, asp.net, asp.net restful, assist, atlassian jira, business solutions, business systems, certification requirements, chart formatting
experience, charts, code reviews, coding standards, communication skills, company, configuration management, console application, crystal reports, css3, data import, database triggers, db link, delivery management, design, desired skills, desktop application winforms, documentation, education, educational qualifications, engineering, entity data, entity framework, er diagrams, essential job functions, excel, excel vba, experience, export, extensible markup language, html5, import, indexes, integration testing, integration testing
perform code, involve, javascript, jira, jquery, level design, linked server, logic, logic design, low, macro, mcp, mcpd, mcts, meeting minutes, microsoft, microsoft asp.net, microsoft certified professional, microsoft certified professional developer, microsoft certified technology specialist, microsoft excel, microsoft powerpoint, microsoft project, microsoft sql server, microsoft visual basic, microsoft visual basic.net, microsoft visual studio, microsoft windows operating system, minimum, mobile application development, ms sql server, must, net, net developer, net framework, object oriented programming, object oriented programming
must, offshoring, ois, oop, open queries, optimization, organizational skills, our, participate, performance analysis, performance tuning, pivots, plan meetings, position overview
this, powerpoint, presentation, query optimization, release management, representational state transfer, rest, role specific experience, sap, sap nco, schedule, scrum, scrum project management, sdks
experience, sdlc, service level agreement, service management, sharepoint, sharp, simple object access protocol, skills, sla, soap, soap
must, software administration, software development, software development lifecycle, software upgrades, sql, sql profiler, sql queries, sql server, sql server reporting services, ssp, ssrs, standards
ability, stored procedures, structured query language, system migration, team, team player, telerik, test case, test plan, timely, triggers, unit test, unit testing plan, user interface, user interface design, vb.net class libraries, vb.net class libraries
must, vb.net class libraries. expert, vb.net language
must, vba, verbal skills, views, visual basic, visual studio, washington dc, wb office information security policies, wcf, web, web services, window applications

required skills, windows, windows applications, windows communication foundation, winforms
must, write low level design, writing skills, xml","Full-Stack, Backend, Gov/Defense"
".NET Developer (677460) // US or GC // 100% On-site DC // 1099, C2C, W2",".net, about, about dantech
dantech corporation, act, address, ado.net, affirmative action employer, application, application support division, asd, asp, asp.net, assist, background, based, bpel, bugzilla, business intelligence, c2c, cai, career ladder application, catch, catch. the, cbe, certified business enterprise, client, cloud, cognos, columbia, consult, contract term, covid, dantech, data stage, data warehouse, databases, dc wet online portal, define, department, design, desired skills, district, ensure, equal opportunity, erap, etl, expect, expect f2f, experience, for, gallaudet, green card, hiring expectations, hp alm, html, human services, implement, inc, including visio network, informatica, information systems, instruct, interact, java, javascript, jira, job id, language, learning management system, linq, lms, location, maintain, map, middle processing application, mobile software applications, ms sql server, must, ne dc, net, net developer, net framework, no third parties, no third party agencies, noma, office, ois, opportunity, oracle, owo, participate, perform, php, plan, provide, quality assurance, quality control, query, red line, reports, represent, required skills, research, resolve, right, server, service oriented architecture, short description

the district, sops, sql, ssis, till, troubleshoot, update, us citizens, use, visual, visual studio, wcf, web, weblogic

complete description

the district, windows communication foundation, woman owned small business, work, wosb, xml, years","Full-Stack, Backend, Gov/Defense"
